,COUNTER_MEMS,INTERPOLATED_MEMS,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,img,round
92,8,0,0.472941,0.366394,-0.62738,0.498474,0.943475,-0.272006,-0.057136,-32.843266,-7.976272,75.73188,Car race 3,0
93,9,0,0.472768,0.366699,-0.62738,0.498413,0.943475,-0.272006,-0.057136,-32.728043,-8.19078,75.59449,Car race 3,0
94,10,0,0.472724,0.366821,-0.627197,0.498596,0.937126,-0.284703,-0.049322,-32.746384,-8.201199,75.731537,Car race 3,0
95,11,0,0.472662,0.367004,-0.627136,0.498596,0.937126,-0.284703,-0.049322,-32.566235,-8.269637,75.707542,Car race 3,0
96,12,0,0.472713,0.367126,-0.627075,0.498535,0.937126,-0.284703,-0.049322,-32.730316,-8.395073,75.771446,Car race 3,0
97,13,0,0.472811,0.367249,-0.627075,0.498352,0.948846,-0.276889,-0.060554,-32.641556,-8.346676,75.698204,Car race 3,0
98,14,0,0.472845,0.36731,-0.627014,0.498352,0.948846,-0.276889,-0.060554,-32.779663,-8.277474,75.57888,Car race 3,0
99,15,0,0.472797,0.367371,-0.627014,0.498352,0.95666,-0.258821,-0.057136,-32.758194,-8.321421,75.515556,Car race 3,0
100,16,0,0.472895,0.367432,-0.626953,0.498291,0.95666,-0.258821,-0.057136,-32.575802,-8.342017,75.524269,Car race 3,0
101,17,0,0.472831,0.367432,-0.626953,0.498352,0.941033,-0.274936,-0.046392,-32.533066,-8.330367,75.606323,Car race 3,0
102,18,0,0.473057,0.367432,-0.626831,0.498291,0.941033,-0.274936,-0.046392,-32.603451,-8.320931,75.597786,Car race 3,0
103,19,0,0.473263,0.367249,-0.626831,0.49823,0.944451,-0.270052,-0.037602,-32.693794,-8.179955,75.590874,Car race 3,0
104,20,0,0.473436,0.367004,-0.626892,0.498169,0.944451,-0.270052,-0.037602,-32.660309,-8.28743,75.645279,Car race 3,0
105,21,0,0.473341,0.367126,-0.626892,0.498169,0.94201,-0.279819,-0.050787,-32.633183,-8.324485,75.689339,Car race 3,0
106,22,0,0.473419,0.366943,-0.626892,0.49823,0.94201,-0.279819,-0.050787,-32.571213,-8.266166,75.498367,Car race 3,0
107,23,0,0.473261,0.367126,-0.626953,0.498169,0.937614,-0.270541,-0.055671,-32.639347,-8.345594,75.53701,Car race 3,0
108,24,0,0.473052,0.367188,-0.627075,0.498169,0.937614,-0.270541,-0.055671,-32.627872,-8.376598,75.601646,Car race 3,0
109,25,0,0.473004,0.367249,-0.627075,0.498169,0.940544,-0.266634,-0.059578,-32.513577,-8.465044,75.705666,Car race 3,0
110,26,0,0.472859,0.367249,-0.627136,0.49823,0.940544,-0.266634,-0.059578,-32.420998,-8.536686,75.789925,Car race 3,0
111,27,0,0.472795,0.36731,-0.627197,0.498169,0.942498,-0.262727,-0.050787,-32.756008,-8.411383,76.014839,Car race 3,0
112,28,0,0.472599,0.367188,-0.627319,0.498291,0.942498,-0.262727,-0.050787,-33.027367,-8.309886,76.197021,Car race 3,0
113,29,0,0.472663,0.367188,-0.627319,0.49823,0.943963,-0.272983,-0.062996,-32.907166,-8.371008,76.012917,Car race 3,0
114,30,0,0.472694,0.367065,-0.627319,0.498291,0.943963,-0.272983,-0.062996,-32.809803,-8.420516,75.8638,Car race 3,0
115,31,0,0.472707,0.366882,-0.627319,0.498413,0.943963,-0.272983,-0.062996,-33.137608,-8.042285,75.646339,Car race 3,0
116,0,0,0.472718,0.366638,-0.627502,0.498352,0.937126,-0.272494,-0.053717,-33.136463,-7.935917,75.703537,Car race 3,0
117,1,0,0.472667,0.366516,-0.627563,0.498413,0.937126,-0.272494,-0.053717,-33.030537,-7.96976,75.719864,Car race 3,0
118,2,0,0.472556,0.366577,-0.627563,0.498474,0.946405,-0.279819,-0.067879,-32.944733,-7.947172,75.68309,Car race 3,0
119,3,0,0.47219,0.366882,-0.627563,0.498596,0.946405,-0.279819,-0.067879,-32.785233,-7.868876,75.743301,Car race 3,0
120,4,0,0.472017,0.367126,-0.627502,0.498657,0.950311,-0.269076,-0.060066,-32.706039,-7.872123,75.808739,Car race 3,0
121,5,0,0.47202,0.36731,-0.627441,0.498596,0.950311,-0.269076,-0.060066,-32.800224,-8.069753,75.836746,Car race 3,0
122,6,0,0.472087,0.367493,-0.62738,0.498474,0.949335,-0.279331,-0.054694,-32.809849,-8.213166,75.676102,Car race 3,0
123,7,0,0.472317,0.367676,-0.627197,0.498352,0.949335,-0.279331,-0.054694,-32.895977,-8.160998,75.669304,Car race 3,0
124,8,0,0.472334,0.367676,-0.627136,0.498413,0.952265,-0.281773,-0.057136,-32.960743,-8.003742,75.647141,Car race 3,0
125,9,0,0.472415,0.367676,-0.627075,0.498413,0.952265,-0.281773,-0.057136,-32.9632,-7.809698,75.645851,Car race 3,0
126,10,0,0.472513,0.367737,-0.627014,0.498352,0.941033,-0.264192,-0.051764,-32.811859,-7.680855,75.63147,Car race 3,0
127,11,0,0.472755,0.367737,-0.626831,0.498352,0.941033,-0.264192,-0.051764,-32.655941,-7.576493,75.669823,Car race 3,0
128,12,0,0.472998,0.367737,-0.626648,0.498352,0.943475,-0.270541,-0.054694,-32.446312,-7.645292,75.689224,Car race 3,0
129,13,0,0.473126,0.367676,-0.626587,0.498352,0.943475,-0.270541,-0.054694,-32.459846,-7.60102,75.521606,Car race 3,0
130,14,0,0.473221,0.367554,-0.626587,0.498352,0.949335,-0.272006,-0.061043,-32.582474,-7.91016,75.460831,Car race 3,0
131,15,0,0.473157,0.367615,-0.626648,0.498291,0.949335,-0.272006,-0.061043,-32.431805,-7.977229,75.278275,Car race 3,0
132,16,0,0.472903,0.367859,-0.626648,0.498352,0.94201,-0.271518,-0.062996,-32.629761,-8.034889,75.310402,Car race 3,0
133,17,0,0.473046,0.367676,-0.626648,0.498352,0.94201,-0.271518,-0.062996,-32.811775,-8.094927,75.393097,Car race 3,0
134,18,0,0.472632,0.368042,-0.626648,0.498474,0.94201,-0.271518,-0.062996,-32.914204,-8.218557,75.460075,Car race 3,0
135,19,0,0.472584,0.368103,-0.626648,0.498474,0.948358,-0.269564,-0.042486,-32.897171,-8.285365,75.647659,Car race 3,0
136,20,0,0.472423,0.368164,-0.626831,0.498352,0.948358,-0.269564,-0.042486,-32.808376,-8.339478,75.724602,Car race 3,0
137,21,0,0.472278,0.368225,-0.626953,0.498291,0.952265,-0.271518,-0.057624,-32.719784,-8.316645,75.653595,Car race 3,0
138,22,0,0.47223,0.368286,-0.626953,0.498291,0.952265,-0.271518,-0.057624,-32.739693,-8.028149,75.592743,Car race 3,0
139,23,0,0.47223,0.368225,-0.626892,0.498413,0.941033,-0.266634,-0.053229,-32.655815,-7.861134,75.493454,Car race 3,0
140,24,0,0.472275,0.367981,-0.626953,0.498474,0.941033,-0.266634,-0.053229,-32.542877,-7.710852,75.323036,Car race 3,0
141,25,0,0.472317,0.367615,-0.627136,0.498474,0.94787,-0.274936,-0.062996,-32.534733,-7.722456,75.218323,Car race 3,0
142,26,0,0.472205,0.367676,-0.627136,0.498535,0.94787,-0.274936,-0.062996,-32.653133,-7.856856,75.178513,Car race 3,0
143,27,0,0.472205,0.367676,-0.627136,0.498535,0.947381,-0.278354,-0.058601,-32.700703,-7.974054,75.517929,Car race 3,0
144,28,0,0.472093,0.367737,-0.627136,0.498596,0.947381,-0.278354,-0.058601,-32.772572,-7.968984,75.542854,Car race 3,0
145,29,0,0.471933,0.36792,-0.627197,0.498535,0.940056,-0.267122,-0.056159,-32.934116,-8.02321,75.638046,Car race 3,0
146,30,0,0.471903,0.367981,-0.627136,0.498596,0.940056,-0.267122,-0.056159,-32.848301,-8.0338,75.715149,Car race 3,0
147,31,0,0.471743,0.368164,-0.627197,0.498535,0.938591,-0.269076,-0.064461,-33.093788,-7.994045,75.442604,Car race 3,0
148,0,0,0.471746,0.368347,-0.627136,0.498474,0.938591,-0.269076,-0.064461,-33.042637,-7.82851,75.038513,Car race 3,0
149,1,0,0.471844,0.368408,-0.627075,0.498413,0.94494,-0.277866,-0.046392,-32.759537,-8.019426,74.936195,Car race 3,0
150,2,0,0.471732,0.368469,-0.627075,0.498474,0.94494,-0.277866,-0.046392,-32.560223,-8.189069,74.838318,Car race 3,0
151,3,0,0.471877,0.368469,-0.627014,0.498413,0.951776,-0.271029,-0.053717,-32.380447,-8.336479,74.907372,Car race 3,0
152,4,0,0.471813,0.368469,-0.627014,0.498474,0.951776,-0.272006,-0.062019,-32.208164,-8.387547,74.918304,Car race 3,0
153,5,0,0.471782,0.368591,-0.627014,0.498413,0.955683,-0.271029,-0.056648,-32.335278,-8.262247,75.13549,Car race 3,0
154,6,0,0.471992,0.368591,-0.626953,0.498291,0.955683,-0.271029,-0.056648,-32.438244,-8.160753,75.311417,Car race 3,0
155,7,0,0.472168,0.36853,-0.626953,0.498169,0.946405,-0.261751,-0.053717,-32.233311,-8.116877,75.408913,Car race 3,0
156,8,0,0.472247,0.368408,-0.627014,0.498108,0.946405,-0.261751,-0.053717,-32.350647,-7.948004,75.487885,Car race 3,0
157,9,0,0.472216,0.36853,-0.627014,0.498047,0.948358,-0.256867,-0.058113,-32.25069,-7.797883,75.510185,Car race 3,0
158,10,0,0.472202,0.368652,-0.626953,0.498047,0.948358,-0.256867,-0.058113,-32.169727,-7.676285,75.528252,Car race 3,0
159,11,0,0.472042,0.368774,-0.626953,0.498108,0.94201,-0.268587,-0.062508,-32.337479,-7.724458,75.584549,Car race 3,0
160,12,0,0.471863,0.368713,-0.627075,0.498169,0.94201,-0.268587,-0.062508,-32.308357,-7.748477,75.570152,Car race 3,0
161,13,0,0.471718,0.368713,-0.627136,0.49823,0.94201,-0.268587,-0.062508,-32.266438,-7.677933,75.605156,Car race 3,0
162,14,0,0.471589,0.368774,-0.627197,0.49823,0.942498,-0.277378,-0.062019,-32.199146,-7.704126,75.471848,Car race 3,0
163,15,0,0.471491,0.368713,-0.627258,0.498291,0.942498,-0.277378,-0.062019,-32.219643,-7.650342,75.708862,Car race 3,0
164,16,0,0.471471,0.368469,-0.627319,0.498413,0.940544,-0.270052,-0.043462,-32.419579,-7.456777,75.934174,Car race 3,0
165,17,0,0.471502,0.368286,-0.627258,0.498596,0.940544,-0.270052,-0.043462,-32.301525,-7.663323,76.083351,Car race 3,0
166,18,0,0.471466,0.368042,-0.62738,0.498657,0.936149,-0.272983,-0.053717,-32.509235,-7.647292,76.01918,Car race 3,0
167,19,0,0.471446,0.367859,-0.627502,0.498657,0.936149,-0.272983,-0.053717,-32.75248,-7.544306,75.922203,Car race 3,0
